cycle_id,pond_id,species_id,total_seed,area,initial_age,limit_weight_per_area,target_cultivation_day,target_size,pond_size,padat_tebar,total_feed,avg_feed_per_day,avg_growth_feed,size_harvest,weight_harvest,total_harvested,selling_price,cycle_lead_time,harvest_time,total_seed_type_actual,total_seed_type_gross,total_seed_type_net,pond_name_A,pond_name_A1,pond_name_A2,pond_name_A3,pond_name_A4,pond_name_Other,survival_rate,survival_rate_pred,avg_body_weight,avg_body_weight_pred,biomass,biomass_pred
3458,12969,1,566669,4968.0,0,1.25,120,45.0,4811.01,2726248129.01,9987.0,89.97,0.38,255.0,7382.93,444548,33729000,112,112,0,0,1,0,0,0,0,0,1,78.45,77.67,13.59,13.01349063704657,5727651.218432388,5790830.288870896
3459,12996,1,566669,4968.0,0,1.25,121,45.0,4636.22,2627202944.52,10913.0,90.19,0.03,256.0,7454.04,440388,33729000,121,121,0,0,1,0,0,0,0,0,1,77.72,77.55,14.32,13.35601035287097,5869322.917269881,5903969.762274389
4044,14348,1,215858,1250.0,0,1.25,120,45.0,1249.91,269802727.41,7182.5,60.36,0.14,496.0,3544.08,187493,33729000,119,119,0,0,1,0,0,1,0,0,0,86.86,88.47,12.28,12.328660561551745,2354399.0381700126,2290473.1961284126
4045,14349,1,227526,1310.0,0,1.25,120,45.0,1309.7,297990483.66,7187.5,60.4,0.15,638.0,3781.38,200709,33729000,119,119,0,0,1,0,0,0,1,0,0,88.21,88.64,11.85,12.095261765698467,2439360.858864447,2447478.3265730725
4046,14350,1,180854,1040.0,0,1.25,120,45.0,1040.11,188108632.67,6135.5,53.35,0.17,255.0,3132.12,159488,33729000,115,115,0,0,1,0,0,0,0,1,0,88.19,88.86,12.12,12.803390591266888,2057592.7556109636,1946002.072990127
4047,14351,1,233360,1340.0,0,1.25,120,45.0,1339.96,312692832.24,6561.0,60.75,0.16,437.0,3868.88,217574,33729000,108,108,0,0,1,0,0,0,0,0,1,93.24,92.23,11.21,11.706437373599051,2519552.260181486,2446937.8535688245
4048,14352,1,265447,1540.0,0,1.25,120,45.0,1540.09,408811447.34,8166.0,68.62,0.17,667.0,4364.21,234405,33729000,119,119,0,0,1,0,0,0,0,0,1,88.31,89.55,11.72,11.960111311452996,2843011.6100593265,2791607.2195059955
4181,9603,1,100000,389.0,0,1.2,70,45.0,403.88,40388100.0,611.98,12.49,0.01,436.0,495.0,83582,33729000,52,52,0,0,1,0,0,0,0,0,1,83.58,84.02,5.5,5.243548376125222,440562.9345620412,447561.43776764453
4233,13223,1,400000,1000.0,0,1.25,120,45.0,1224.83,489930840.0,2705.0,46.64,0.63,410.0,1200.0,255000,33729000,59,59,0,0,1,0,0,0,0,0,1,63.75,64.3,4.55,5.574501043518172,1433761.6683928738,1250690.6453403546
4238,13225,1,223488,2679.0,0,1.25,120,45.0,314.06,70188864.77,1520.0,14.62,0.09,33.0,509.73,16821,33729000,105,105,0,0,1,0,0,0,0,0,1,7.53,8.65,17.96,15.826392189717462,305951.25581066735,315032.6989032729
4239,13226,1,223488,2384.0,0,1.25,120,45.0,314.06,70188864.77,3305.0,31.78,0.45,41.0,1433.03,58754,33729000,105,105,0,0,1,0,0,0,0,0,1,26.29,27.09,14.94,15.848266590581185,959500.0066882842,943563.0610429752
4241,13228,1,213316,3094.0,0,1.25,120,45.0,314.06,66994236.28,2870.0,27.6,0.38,37.0,1147.79,42468,33729000,105,105,0,0,1,0,0,0,0,0,1,19.91,19.9,15.94,15.76825999499898,669360.8076695473,710722.455301759
4253,12886,1,168750,16000.0,0,1.25,120,45.0,1000.01,168751501.88,345.0,11.5,1.17,330.0,400.0,132000,33729000,31,31,0,0,1,0,0,0,0,0,1,78.22,78.55,2.0,3.507599773189773,464943.31118559564,471245.92288255563
